stream_name,WS-default
daq_type,EEG
units,microvolts
reference,A1A2
sample_rate,300.0
Timestamp,Pz,F4,C4,P4,P3,C3,F3,TRG,lsl_timestamp
38,5259.07177734375,5023.02734375,5392.46728515625,6042.91357421875,8176.08251953125,5827.77685546875,1303.9462890625,0.0,19625.2485886
39,-8697.6962890625,-8321.40625,-8797.7421875,-7732.712890625,-7511.43115234375,-7426.4560546875,-5318.0029296875,0.0,19625.2485891
40,-8569.4697265625,-6663.99609375,-7255.6474609375,-6189.05859375,-8975.203125,-6646.5205078125,-1174.0479736328125,0.0,19625.2485897
41,4120.68994140625,5710.53662109375,5728.943359375,6435.20458984375,3360.279052734375,4540.52685546875,5848.78857421875,0.0,19625.2485902
42,9863.16796875,10363.7861328125,11001.5341796875,11396.849609375,11435.9453125,9728.134765625,4791.978515625,0.0,19625.2485907
43,3948.51806640625,4001.372802734375,4540.6845703125,5221.01953125,7445.146484375,5004.42578125,434.41748046875,0.0,19625.2485912
44,-9349.0595703125,-8977.8759765625,-9821.05078125,-8487.88671875,-8415.6650390625,-8304.279296875,-6111.5751953125,0.0,19625.2485917
45,-8708.8330078125,-6999.7626953125,-7928.29052734375,-6608.25732421875,-9917.6220703125,-7643.30126953125,-1790.13818359375,0.0,19625.2485922
46,4084.26904296875,2863.504638671875,1629.37646484375,2855.0966796875,-1429.310546875,-379.05487060546875,2159.6591796875,0.0,19625.2841364
47,9863.16796875,9217.7998046875,9544.7021484375,10365.6689453125,9974.2861328125,8241.26171875,3578.70947265625,0.0,19625.2841375
48,2168.10302734375,1715.5341796875,2113.423095703125,2927.872802734375,4824.73583984375,2678.76416015625,-1709.6182861328125,0.0,19625.2841381
49,-9431.8349609375,-8710.1875,-9226.333984375,-7972.17431640625,-7762.6552734375,-7529.3359375,-5428.40673828125,0.0,19625.2841386
50,-8755.7890625,-7255.7353515625,-8143.79345703125,-6722.91552734375,-9916.5263671875,-7453.27197265625,-1753.689453125,0.0,19625.2841391
51,4128.51611328125,5869.7197265625,5548.6943359375,6602.50732421875,3278.909912109375,4565.1943359375,5906.41748046875,0.0,19625.2841397
52,9863.16796875,10296.8173828125,10765.6884765625,11484.4111328125,11429.638671875,9703.1728515625,4709.47412109375,0.0,19625.2841403
53,3987.64794921875,3785.8388671875,4082.887451171875,4978.80908203125,6959.31689453125,4673.341796875,111.12678527832031,0.0,19625.2841411
54,-9862.8671875,-9007.8818359375,-9682.603515625,-8414.94140625,-8413.220703125,-8315.244140625,-6250.66064453125,0.0,19625.2841417
55,-8260.3427734375,-8382.5693359375,-9738.2060546875,-8202.5703125,-11917.0419921875,-9720.75,-3537.7734375,0.0,19625.3158644
56,4055.97509765625,2847.823486328125,1815.596435546875,3234.82177734375,-960.274169921875,296.99078369140625,2495.885986328125,0.0,19625.3158656
57,9863.16796875,9695.2939453125,10118.5419921875,10982.8134765625,10757.2216796875,9099.58203125,4265.74853515625,0.0,19625.3158662
